,,coef,std err,z,P>|z|,[0.025,0.975]
0,Consumption,    0.0937,    0.003,   31.479, 0.000,    0.088,    0.100
1,Wind_Generation,   -0.0809,    0.004,  -21.315, 0.000,   -0.088,   -0.074
2,Import_Coal_Generation,    0.2561,    0.006,   42.156, 0.000,    0.244,    0.268
3,Hydroelectric_Generation,   -0.0624,    0.004,  -14.199, 0.000,   -0.071,   -0.054
4,Domestic_Coal_Generation,    0.0345,    0.020,    1.755, 0.079,   -0.004,    0.073
5,Price_Cap,   -0.1160,    0.087,   -1.332, 0.183,   -0.287,    0.055
6,Hour_Sin,  176.1464,  107.914,    1.632, 0.103,  -35.362,  387.654
7,Hour_Cos,  301.1242,  104.952,    2.869, 0.004,   95.422,  506.826
8,Month_Sin, -319.4451,  206.373,   -1.548, 0.122, -723.928,   85.038
9,Month_Cos,    9.4006,   66.563,    0.141, 0.888, -121.061,  139.862
10,Monday,   24.2590,   15.934,    1.523, 0.128,   -6.970,   55.488
11,Tuesday,    9.2613,   21.546,    0.430, 0.667,  -32.969,   51.491
12,Wednesday,    5.6622,   23.860,    0.237, 0.812,  -41.103,   52.428
13,Thursday,  -47.8139,   23.676,   -2.020, 0.043,  -94.218,   -1.410
14,Friday, -104.1481,   21.703,   -4.799, 0.000, -146.686,  -61.610
15,Saturday,  -73.5694,   16.097,   -4.570, 0.000, -105.118,  -42.021
16,Interaction_Solar_Peak,-1185.0251,  141.738,   -8.361, 0.000,-1462.826, -907.224
17,ar.L1,    0.5378,    0.006,   90.423, 0.000,    0.526,    0.550
18,ma.L1,   -0.9423,    0.003, -339.669, 0.000,   -0.948,   -0.937
19,ar.S.L24,    0.9951,    0.001, 1295.707, 0.000,    0.994,    0.997
20,ma.S.L24,   -0.9222,    0.003, -338.364, 0.000,   -0.928,   -0.917
21,sigma2, 1.201e+05,  810.526,  148.184, 0.000, 1.19e+05, 1.22e+05
