,,coef,std err,z,P>|z|,[0.025,0.975]
0,Consumption,   -0.1253,    0.004,  -29.581, 0.000,   -0.134,   -0.117
1,Wind_Generation,    0.1412,    0.008,   17.987, 0.000,    0.126,    0.157
2,Import_Coal_Generation,   -0.2274,    0.007,  -30.846, 0.000,   -0.242,   -0.213
3,Hydroelectric_Generation,    0.1327,    0.006,   22.159, 0.000,    0.121,    0.144
4,Domestic_Coal_Generation,   -0.2032,    0.031,   -6.640, 0.000,   -0.263,   -0.143
5,Price_Cap,   -0.0142,    0.215,   -0.066, 0.948,   -0.436,    0.408
6,Hour_Sin,   75.6258,  123.170,    0.614, 0.539, -165.783,  317.034
7,Hour_Cos,  -55.5890,  121.184,   -0.459, 0.646, -293.106,  181.928
8,Month_Sin,  420.1600,  283.367,    1.483, 0.138, -135.229,  975.549
9,Month_Cos,  510.9123,   93.004,    5.493, 0.000,  328.628,  693.197
10,Monday,  -39.1766,   16.764,   -2.337, 0.019,  -72.034,   -6.319
11,Tuesday,  -56.7756,   23.809,   -2.385, 0.017, -103.441,  -10.110
12,Wednesday,  -57.3306,   25.837,   -2.219, 0.026, -107.970,   -6.691
13,Thursday, -113.3321,   25.881,   -4.379, 0.000, -164.058,  -62.606
14,Friday, -217.0945,   22.615,   -9.600, 0.000, -261.418, -172.771
15,Saturday, -124.5073,   17.164,   -7.254, 0.000, -158.147,  -90.867
16,Solar_Generation_Share, 4642.2175,  242.260,   19.162, 0.000, 4167.397, 5117.038
17,System_Direction_Down,  -18.4776,   10.435,   -1.771, 0.077,  -38.930,    1.975
18,System_Direction_Up,  -38.0796,    9.292,   -4.098, 0.000,  -56.291,  -19.868
19,Interaction_Solar_Dir_Down, -124.2307,   81.385,   -1.526, 0.127, -283.742,   35.281
20,Interaction_Solar_Dir_Up,  279.8543,   84.435,    3.314, 0.001,  114.365,  445.344
21,ar.L1,    0.8825,    0.002,  377.052, 0.000,    0.878,    0.887
22,ma.L1,   -0.9972,    0.000,-2129.658, 0.000,   -0.998,   -0.996
23,ar.S.L24,    0.9840,    0.001, 1315.653, 0.000,    0.983,    0.985
24,ma.S.L24,   -0.8834,    0.002, -513.726, 0.000,   -0.887,   -0.880
25,sigma2, 1.997e+05,  728.045,  274.355, 0.000, 1.98e+05, 2.01e+05
