,Coefficient,Model_ID
Consumption,-0.08095920236671797,Model 1
Wind_Generation,0.097001991829744,Model 1
Import_Coal_Generation,-0.17567200075805542,Model 1
Hydroelectric_Generation,0.11704462001877024,Model 1
Domestic_Coal_Generation,-0.18402420716941537,Model 1
Price_Cap,0.5009308296473005,Model 1
Hour_Sin,97.94604065497546,Model 1
Hour_Cos,-60.18057425318683,Model 1
Month_Sin,405.78491211046753,Model 1
Month_Cos,508.88323514414253,Model 1
Monday,-42.12433503023936,Model 1
Tuesday,-60.76154336331391,Model 1
Wednesday,-61.773720033173106,Model 1
Thursday,-119.93138472219265,Model 1
Friday,-224.0655448989694,Model 1
Saturday,-130.40804418069936,Model 1
Solar_Generation_Share,3628.135910577758,Model 1
Interaction_Solar_Sunday,3556.8834640187106,Model 1
Interaction_Solar_Holiday,1311.2786978465972,Model 1
ar.L1,-0.5658531217267505,Model 1
ma.L1,0.46172596118791265,Model 1
ma.L2,-0.10719067718896239,Model 1
ar.S.L24,0.9828840255076979,Model 1
ma.S.L24,-0.8828391236334183,Model 1
sigma2,195037.2113497055,Model 1
Consumption,-0.10372541157745145,Model 2
Wind_Generation,0.05816665923877497,Model 2
Import_Coal_Generation,-0.2723446790499818,Model 2
Hydroelectric_Generation,0.10916076841748854,Model 2
Domestic_Coal_Generation,-0.2555182419456437,Model 2
Price_Cap,2.679309318383117,Model 2
Hour_Sin,109.47605549934526,Model 2
Hour_Cos,-184.6142125975336,Model 2
Month_Sin,380.12261986145097,Model 2
Month_Cos,522.7188655530679,Model 2
Monday,-46.4133550741656,Model 2
Tuesday,-64.1402438741452,Model 2
Wednesday,-62.613272266074254,Model 2
Thursday,-120.3799645000913,Model 2
Friday,-220.8587240227019,Model 2
Saturday,-125.35695522307779,Model 2
Solar_Share_x_Hour_8,1526.7151300427586,Model 2
Solar_Share_x_Hour_9,1229.829363615664,Model 2
Solar_Share_x_Hour_10,1011.0707426401759,Model 2
Solar_Share_x_Hour_11,1873.0976562024573,Model 2
Solar_Share_x_Hour_12,1554.7305602723643,Model 2
Solar_Share_x_Hour_13,1912.1490993037555,Model 2
Solar_Share_x_Hour_14,2839.736040910442,Model 2
Solar_Share_x_Hour_15,2970.8507575629455,Model 2
Solar_Share_x_Hour_16,2110.165090176582,Model 2
Solar_Share_x_Hour_17,5098.73017652142,Model 2
ar.L1,-0.0508491512667972,Model 2
ma.L1,-0.04651442912322252,Model 2
ma.L2,-0.06066170085003609,Model 2
ar.S.L24,0.986627974103511,Model 2
ma.S.L24,-0.8903548046828107,Model 2
sigma2,187061.49012838467,Model 2
Consumption,-0.10709304063229072,Model 7.3
Wind_Generation,0.0936850193050167,Model 7.3
Import_Coal_Generation,-0.2280583766028855,Model 7.3
Hydroelectric_Generation,0.12263056604396681,Model 7.3
Domestic_Coal_Generation,-0.23787503290721623,Model 7.3
Price_Cap,0.12304867571903426,Model 7.3
Hour_Sin,75.6253365503942,Model 7.3
Hour_Cos,-55.58974472569972,Model 7.3
Month_Sin,420.1600106684637,Model 7.3
Month_Cos,510.9119557067233,Model 7.3
Monday,-39.176165762600924,Model 7.3
Tuesday,-56.77547253489144,Model 7.3
Wednesday,-57.33065861927931,Model 7.3
Thursday,-113.33190955846264,Model 7.3
Friday,-217.0946435769644,Model 7.3
Saturday,-124.50701038842996,Model 7.3
Solar_Generation_Share,4642.217214641544,Model 7.3
System_Direction_Down,-18.472763041723795,Model 7.3
System_Direction_Up,-38.07106922038295,Model 7.3
Interaction_Solar_Dir_Down,-124.22947358416296,Model 7.3
Interaction_Solar_Dir_Up,279.8532585430364,Model 7.3
ar.L1,-0.48875301777336616,Model 7.3
ma.L1,0.3938733197157011,Model 7.3
ma.L2,-0.09634123685433317,Model 7.3
ar.S.L24,0.984467906212355,Model 7.3
ma.S.L24,-0.8874096909277717,Model 7.3
sigma2,198202.22606346803,Model 7.3
Consumption,0.08555876740183492,Model 4
Wind_Generation,-0.11736730120584506,Model 4
Import_Coal_Generation,0.12111670910368176,Model 4
Hydroelectric_Generation,-0.0889599506219699,Model 4
Domestic_Coal_Generation,0.08018061178461883,Model 4
Price_Cap,-0.4128426015937682,Model 4
Hour_Sin,-126.27740038690361,Model 4
Hour_Cos,-173.79558178671033,Model 4
Month_Sin,42.69706018257962,Model 4
Month_Cos,-31.233500679905593,Model 4
Monday,-108.35985174487065,Model 4
Tuesday,-117.13230199769971,Model 4
Wednesday,-105.02920460211539,Model 4
Thursday,-123.04306840101752,Model 4
Friday,-115.8742615817275,Model 4
Saturday,-100.11059296130274,Model 4
Solar_Generation_Share,-5152.054976421349,Model 4
Interaction_Solar_Sunday,-2249.1048320786153,Model 4
Interaction_Solar_Holiday,-1364.7317269776622,Model 4
ar.L1,1.209989856711226,Model 4
ar.L2,-0.22906450331214262,Model 4
ma.L1,-0.6405067891939251,Model 4
ma.L2,-0.17481236260747093,Model 4
ar.S.L24,0.9920525400110739,Model 4
ma.S.L24,-0.904744501980667,Model 4
sigma2,113622.00707019352,Model 4
Consumption,0.08007990816742705,Model 5
Wind_Generation,-0.10295547135294007,Model 5
Import_Coal_Generation,0.19641665005595602,Model 5
Hydroelectric_Generation,-0.0835438319558743,Model 5
Domestic_Coal_Generation,0.1171766606557679,Model 5
Price_Cap,0.1732036668741209,Model 5
Hour_Sin,-245.22392566796157,Model 5
Hour_Cos,-149.6245715550014,Model 5
Month_Sin,-23.499290312328927,Model 5
Month_Cos,-19.678160685568958,Model 5
Monday,73.29974107665646,Model 5
Tuesday,66.89710297518563,Model 5
Wednesday,80.1885030607396,Model 5
Thursday,64.1133923921009,Model 5
Friday,70.35026828313075,Model 5
Saturday,80.35723108421868,Model 5
Solar_Share_x_Hour_8,-2528.6702771866467,Model 5
Solar_Share_x_Hour_9,-3257.440254529488,Model 5
Solar_Share_x_Hour_10,-4539.461334451452,Model 5
Solar_Share_x_Hour_11,-4916.275929148784,Model 5
Solar_Share_x_Hour_12,-6834.852449402886,Model 5
Solar_Share_x_Hour_13,-6267.185090718634,Model 5
Solar_Share_x_Hour_14,-5710.040352281328,Model 5
Solar_Share_x_Hour_15,-6370.8077734219005,Model 5
Solar_Share_x_Hour_16,-6392.25444296901,Model 5
Solar_Share_x_Hour_17,-6105.966234913752,Model 5
ar.L1,1.3623636029721753,Model 5
ar.L2,-0.3698584407536124,Model 5
ma.L1,-0.7511760200855458,Model 5
ma.L2,-0.13830854180495622,Model 5
ar.S.L24,0.9944404479564802,Model 5
ma.S.L24,-0.9166858575729128,Model 5
sigma2,114026.733856948,Model 5
